ranking,num,data,name,score
3390,(303人评分),"
                         12话 /  2012年4月3日 / ホビージャパン                    ",女皇之刃 叛乱,6.3
3391,(113人评分),"
                         3话 /  2014年9月18日                    ",姐姐的妄想日记OAD,6.0
3392,(2410人评分),"
                         12话 /  2013年10月7日                    ",机巧少女不会受伤,6.4
3393,(246人评分),"
                         13话 /  2017年1月21日 / ISSEN(オー・エル・エム+ブシロード) / 仁多マツコ                    ",BanG Dream!,6.2
3394,(2895人评分),"
                         13话 /  2013年4月5日 / 元永慶太郎 / 橘公司 / 石野聡                    ",约会大作战,6.4
3395,(96人评分),"
                          2011年6月30日                    ",火影忍者 特别篇 炎之中忍试验！鸣人VS木叶丸！！,6.0
3396,(106人评分),"
                         13话 /  2012年9月30日 / 「緋色の欠片」アイディアファクトリー／Design Factory                    ",绯色的欠片 第二章,6.0
3397,(2273人评分),"
                         8话 /  2012年2月2日                    ",黑岩射手,6.4
3398,(1243人评分),"
                          2008年4月19日 / 山本泰一郎 / 青山剛昌 / 須藤昌朋                    ",名侦探柯南 战栗的乐谱,6.4
3399,(55人评分),"
                          2016/11/25 / 雷火剣 / 鈴木貴人                    ",君の魔名はリナ・ウィッチ アイドルのファミリア,5.7
3400,(65人评分),"
                         2话 /  2012年12月21日 / Tinker Bell                    ",魍魎の贄,5.8
3401,(109人评分),"
                         2话 /  2016/09/30                    ",妻中蜜3 THE ANIMATION,6.0
3402,(481人评分),"
                          2007年12月22日 / 阿部記之 / 久保帯人 / 工藤昌史                    ",死神剧场版 钻石星尘的反叛！另一个冰轮丸,6.3
3403,(573人评分),"
                         1话 /  2013年1月31日                    ",加速世界 -加速的顶点-,6.3
3404,(524人评分),"
                         25话 /  2014年10月8日                    ",高达创战者TRY,6.3
3405,(127人评分),"
                         4话 /  2010年4月15日                    ",真章 梦幻馆 Epilogue,6.1
3406,(65人评分),"
                         2话 /  2005-10-25                    ",凌辱人妻温泉,5.8
3407,(871人评分),"
                         13话 /  2013年4月3日 / 御巫桃也                    ",狂欢节,6.3
3408,(1185人评分),"
                         13话 /  2008年4月7日                    ",吸血鬼骑士,6.4
3409,(66人评分),"
                         2话 /  2016/10/14 / 荒木英樹 / Fue                    ",フェラハメりっぷす,5.8
3410,(124人评分),"
                         12话 /  2015年10月9日 / 逆光飞行                    ",那年那兔那些事儿 第二季,6.0
3411,(352人评分),"
                         12话 /  2007年2月26日 / 大畑晃一 / 塩崎雄二（ワニブックス刊「月刊ComicGUM」連載中） / りんしん                    ",一骑当千 Dragon Destiny,6.3
3412,(114人评分),"
                         2话 /  2016年3月18日                    ",爆音少女!! OAD,6.0
3413,(81人评分),"
                         1话 /  2017年5月27日 / 辻本貴則 / Capcom                    ",生化危机 复仇,5.9
3414,(68人评分),"
                         3话 /  2011年2月18日                    ",Sweet Home～Hなお姉さんは好きですか？～,5.8
3415,(78人评分),"
                         2话 /  2006/02/24                    ",CLEAVAGE,5.8
3416,(411人评分),"
                         13话 /  2016年1月7日 / 佐々木勅嘉 / 音井れこ丸                    ",大叔与棉花糖,6.3
3417,(61人评分),"
                         2话 /  2011-11-18                    ",悪の女幹部,5.7
3418,(184人评分),"
                         2话 /  2012年3月21日 / 萩原弘光                    ",浪客剑心 新京都篇,6.1
3419,(212人评分),"
                         1话 /  2014年9月24日                    ",黑白小姐 「经纪人」,6.2
3420,(69人评分),"
                         1话 /  2014年7月4日                    ",再来一次好吗?,5.8
3421,(64人评分),"
                         2话 /  2007/10/25 / Selen                    ",借金姉妹,5.7
3422,(66人评分),"
                         2话 /  2008年1月25日 / シルキーズ                    ",姫騎士アンジェリカ,5.7
3423,(120人评分),"
                         2话 /  2004/11/26 / 桶澤尚（水野和則） / 柴田京実 / 日野国芳                    ",好色女教师,6.0
3424,(255人评分),"
                         1话 /  2014年6月17日                    ",黑白小姐 OVA 足球篇,6.2
3425,(206人评分),"
                         12话 /  2016年1月7日                    ",命运九重奏,6.2
3426,(87人评分),"
                         2话 /  2016/01/22 / 雷火剣                    ",巨乳人妻女教师催眠,5.9
